~a	 ~ a |
i'ñoduhkueta	 i ' ñ o d u h k u e t a |
niya	 n i y a |
buigãletaha	 b u i g ã l e t a h a |
i'yo	 i ' y o |
ihidogãta	 i h i d o g ã t a |
balea	 b a l e a |
numiakina	 n u m i a k i n a |
belea	 b e l e a |
tohalli	 t o h a l l i |
ihimito	 i h i m i t o |
wa'idi	 w a ' i d i |
i'ño	 i ' ñ o |
dohkoete	 d o h k o e t e |
o'õsa	 o ' õ s a |
yohatali	 y o h a t a l i |
malipena	 m a l i p e n a |
keopahka	 k e o p a h k a |
madali	 m a d a l i |
bUhkagã	 b U h k a g ã |
kamepU	 k a m e p U |
ihidale	 i h i d a l e |
yedali	 y e d a l i |
bUhkana	 b U h k a n a |
bu'igã	 b u ' i g ã |
ñoaga	 ñ o a g a |
ãka	 ã k a |
ñoa	 ñ o a |
kina(americo)	 k i n a ( a m e r i c o ) |
wa'metikido	 w a ' m e t i k i d o |
wameosa	 w a m e o s a |
ihietidi	 i h i e t i d i |
ahkayue	 a h k a y u e |
da'poto	 d a ' p o t o |
keh~e	 k e h ~ e |
dU'tebohkaya	 d U ' t e b o h k a y a |
dUhkaya	 d U h k a y a |
dohkhaliti	 d o h k h a l i t i |
ihmipe	 i h m i p e |
no'ope	 n o ' o p e |
dohke	 d o h k e |
di'pe	 d i ' p e |
tUolimipe	 t U o l i m i p e |
dohkedUka	 d o h k e d U k a |
yohata	 y o h a t a |
kol~e	 k o l ~ e |
pihini	 p i h i n i |
duli	 d u l i |
wi'i	 w i ' i |
dUhkaye	 d U h k a y e |
o'õta	 o ' õ t a |
bahsuedali	 b a h s u e d a l i |
yuhkUsa	 y u h k U s a |
wiato	 w i a t o |
panole	 p a n o l e |
a'likido	 a ' l i k i d o |
de'yU	 d e ' y U |
pe'tha	 p e ' t h a |
kahsa	 k a h s a |
wametimipe	 w a m e t i m i p e |
miniñe	 m i n i ñ e |
kahsapU	 k a h s a p U |
(buhtiasã)	 ( b u h t i a s ã ) |
buhtiasã	 b u h t i a s ã |
buhtiamUaye	 b u h t i a m U a y e |
e'ok~ugU	 e ' o k ~ u g U |
wa'kãpabUdUaye	 w a ' k ã p a b U d U a y e |
too	 t o o |
i'imipa	 i ' i m i p a |
wa'ima	 w a ' i m a |
imipa	 i m i p a |
ako	 a k o |
ehtoa	 e h t o a |
dokoyeta	 d o k o y e t a |
o'sa	 o ' s a |
ahpebodo	 a h p e b o d o |
yaudona	 y a u d o n a |
milagre)	 m i l a g r e ) |
yekina	 y e k i n a |
tuwiata	 t u w i a t a |
topUta	 t o p U t a |
pa'muwiali	 p a ' m u w i a l i |
ta'tia	 t a ' t i a |
bo'dota	 b o ' d o t a |
a'likina	 a ' l i k i n a |
pana	 p a n a |
bUdUdUhkalikina	 b U d U d U h k a l i k i n a |
dU'temipe	 d U ' t e m i p e |
Iauarete	 I a u a r e t e |
yaya	 y a y a |
peona(........)	 p e o n a ( . . . . . . . . ) |
kenono	 k e n o n o |
ehtoawe	 e h t o a w e |
pati	 p a t i |
abuli	 a b u l i |
pitiwiawa	 p i t i w i a w a |
wehte	 w e h t e |
maliedaye	 m a l i e d a y e |
ehtoawekaya	 e h t o a w e k a y a |
dohkokuyati	 d o h k o k u y a t i |
dehsuyena	 d e h s u y e n a |
puno	 p u n o |
bahtiye	 b a h t i y e |
panape	 p a n a p e |
kUoli	 k U o l i |
yado	 y a d o |
tikinagUle	 t i k i n a g U l e |
pi'ado	 p i ' a d o |
pUle	 p U l e |
keo	 k e o |
ñebuipe'de	 ñ e b u i p e ' d e |
a'kã	 a ' k ã |
dohkek~Uli	 d o h k e k ~ U l i |
kUo	 k U o |
yoha	 y o h a |
dudu	 d u d u |
ia'uduhkulido	 i a ' u d u h k u l i d o |
yohate	 y o h a t e |
pihti	 p i h t i |
keogU	 k e o g U |
sa'ata	 s a ' a t a |
bUhkado	 b U h k a d o |
buhado	 b u h a d o |
buhaya	 b u h a y a |
nimipe	 n i m i p e |
keog~U'U	 k e o g ~ U ' U |
(pa'i	 ( p a ' i |
minidido)~UgU	 m i n i d i d o ) ~ U g U |
tota,	 t o t a , |
simiterio	 s i m i t e r i o |
kuadUdo	 k u a d U d o |
a'lie	 a ' l i e |
bu'ipede	 b u ' i p e d e |
dehsuya	 d e h s u y a |
tiepe'de	 t i e p e ' d e |
o'õle	 o ' õ l e |
madakuhto	 m a d a k u h t o |
tie	 t i e |
tininole	 t i n i n o l e |
i'ñayali	 i ' ñ a y a l i |
muhsa	 m u h s a |
alima	 a l i m a |
duhkawatidima	 d u h k a w a t i d i m a |
yabedima	 y a b e d i m a |
kenaya	 k e n a y a |
mimipe	 m i m i p e |
tuhtitimapiata	 t u h t i t i m a p i a t a |
ninopU	 n i n o p U |
y~e'eno	 y ~ e ' e n o |
tado	 t a d o |
wameyeme'gU	 w a m e y e m e ' g U |
bUhkina	 b U h k i n a |
wameyedidope	 w a m e y e d i d o p e |
sõa	 s õ a |
di'a	 d i ' a |
bahsig~U	 b a h s i g ~ U |
i'yÕ	 i ' y Õ |
dUhko	 d U h k o |
ehtokoa`tota	 e h t o k o a ` t o t a |
niale	 n i a l e |
ehtoakehk~uli	 e h t o a k e h k ~ u l i |
i'õdUhkokoayati	 i ' õ d U h k o k o a y a t i |
ihiwameti	 i h i w a m e t i |
tu'piata	 t u ' p i a t a |
ihikoati	 i h i k o a t i |
penatha	 p e n a t h a |
topena	 t o p e n a |
kUomipe	 k U o m i p e |
Cari	 C a r i |
tihna	 t i h n a |
kõakhU	 k õ a k h U |
o'õdUhkaya	 o ' õ d U h k a y a |
togU	 t o g U |
koena	 k o e n a |
bahtopU	 b a h t o p U |
ihidoihi	 i h i d o i h i |
ko'õka	 k o ' õ k a |
kõakU	 k õ a k U |
a'liepe	 a ' l i e p e |
wUhpo	 w U h p o |
wUhpoti	 w U h p o t i |
uhpidi	 u h p i d i |
kuh~u	 k u h ~ u |
uhpidik~uhu	 u h p i d i k ~ u h u |
i'yali	 i ' y a l i |
iUhUdo	 i U h U d o |
peyekina	 p e y e k i n a |
uhpidikuh~u	 u h p i d i k u h ~ u |
nulikido	 n u l i k i d o |
bahseti~e	 b a h s e t i ~ e |
i'yamaye	 i ' y a m a y e |
wU'UwUhpu	 w U ' U w U h p u |
ninope'de	 n i n o p e ' d e |
po	 p o |
bUhlitu	 b U h l i t u |
bahsekohati	 b a h s e k o h a t i |
dehkõkahã	 d e h k õ k a h ã |
koãkuhu	 k o ã k u h u |
ia'uduhku	 i a ' u d u h k u |
duhkumedi	 d u h k u m e d i |
dehsuia'ye	 d e h s u i a ' y e |
ia'ye	 i a ' y e |
yo'ye	 y o ' y e |
me'nedali	 m e ' n e d a l i |
pehepUle	 p e h e p U l e |
ia'li	 i a ' l i |
ehedipo'na	 e h e d i p o ' n a |
me'napU	 m e ' n a p U |
tikinale	 t i k i n a l e |
i'bo	 i ' b o |
bo'dole	 b o ' d o l e |
i'ya	 i ' y a |
ka'tepU	 k a ' t e p U |
bu'igãle	 b u ' i g ã l e |
ahuã	 a h u ã |
tUo	 t U o |
mahaledi	 m a h a l e d i |
nehkUsUmUa	 n e h k U s U m U a |
wahtiepU	 w a h t i e p U |
ahaune	 a h a u n e |
kanUakapU	 k a n U a k a p U |
~mehkUsUmua	 ~ m e h k U s U m u a |
waidi	 w a i d i |
ya'akatali	 y a ' a k a t a l i |
alia	 a l i a |
osa	 o s a |
siolia	 s i o l i a |
mahli	 m a h l i |
~nodohkoli	 ~ n o d o h k o l i |
t~ee	 t ~ e e |
ahpeikina	 a h p e i k i n a |
wai	 w a i |
bUemusi	 b U e m u s i |
ninipehe	 n i n i p e h e |
mene	 m e n e |
kueati	 k u e a t i |
~nehkusumua	 ~ n e h k u s u m u a |
aha	 a h a |
~nehkUsUmua	 ~ n e h k U s U m u a |
maadalipehpUde	 m a a d a l i p e h p U d e |
wee~nene	 w e e ~ n e n e |
netalitanaha	 n e t a l i t a n a h a |
ole	 o l e |
tUokayedi	 t U o k a y e d i |
tii	 t i i |
yuoaha	 y u o a h a |
frases	 f r a s e s |
complementares	 c o m p l e m e n t a r e s |
toota	 t o o t a |
ahpehnole	 a h p e h n o l e |
pohtadohkoye	 p o h t a d o h k o y e |
ninimipedi	 n i n i m i p e d i |
tinapea	 t i n a p e a |
pohta	 p o h t a |
kanUakaputa	 k a n U a k a p u t a |
behta~noline	 b e h t a ~ n o l i n e |
mahk~aa	 m a h k ~ a a |
wiape	 w i a p e |
bUhede	 b U h e d e |
pe'e	 p e ' e |
k~aa	 k ~ a a |
dohtoli	 d o h t o l i |
kadehko	 k a d e h k o |
dadayenaha	 d a d a y e n a h a |
bUedubu	 b U e d u b u |
wiide	 w i i d e |
~naa	 ~ n a a |
nu'upise	 n u ' u p i s e |
komese	 k o m e s e |
weditakamena	 w e d i t a k a m e n a |
dale	 d a l e |
wa'alea	 w a ' a l e a |
sotati	 s o t a t i |
walea	 w a l e a |
tiadehko	 t i a d e h k o |
se	 s e |
wahpale	 w a h p a l e |
toputa	 t o p u t a |
Uhyekale	 U h y e k a l e |
kahpediataha	 k a h p e d i a t a h a |
ahpediataha	 a h p e d i a t a h a |
a'kabohka	 a ' k a b o h k a |
pookepude	 p o o k e p u d e |
yoyok~awaye	 y o y o k ~ a w a y e |
yutuwekuano	 y u t u w e k u a n o |
tuwkuano	 t u w k u a n o |
bahsioadaye	 b a h s i o a d a y e |
uhuye	 u h u y e |
bahsiodaye	 b a h s i o d a y e |
kanoa	 k a n o a |
ahtiamaye	 a h t i a m a y e |
uhpisabUdo	 u h p i s a b U d o |
bUdoka	 b U d o k a |
wametiaha	 w a m e t i a h a |
pohtapoye	 p o h t a p o y e |
pohtam~ene	 p o h t a m ~ e n e |
poi	 p o i |
dehsuyali	 d e h s u y a l i |
~nehkusUmua	 ~ n e h k u s U m u a |
Tomas	 T o m a s |
Nogueira,	 N o g u e i r a , |
43	 4 3 |
anos,	 a n o s , |
Sao	 S a o |
Paulo	 P a u l o |
(Papuri).	 ( P a p u r i ) . |
Gravado	 G r a v a d o |
em	 e m |
10	 1 0 |
abril	 a b r i l |
2006.	 2 0 0 6 . |
me'na~ga	 m e ' n a ~ g a |
(i)hibUna	 ( i ) h i b U n a |
ihidoa~gale	 i h i d o a ~ g a l e |
~oosaa	 ~ o o s a a |
kitide	 k i t i d e |
~ka'meno	 ~ k a ' m e n o |
katamahape	 k a t a m a h a p e |
yU'U~gUle	 y U ' U ~ g U l e |
kitiwarope	 k i t i w a r o p e |
e'	 e ' |
historia	 h i s t o r i a |
kiti	 k i t i |
ihieyepe	 i h i e y e p e |
estoria,	 e s t o r i a , |
sata?	 s a t a ? |
Ah,	 A h , |
sim?	 s i m ? |
seegU	 s e e g U |
mia,	 m i a , |
segunda-feira	 s e g u n d a - f e i r a |
yaawU'UpU	 y a a w U ' U p U |
AMIDI	 A M I D I |
~wametidi	 ~ w a m e t i d i |
wU'UpU	 w U ' U p U |
~o'opU,	 ~ o ' o p U , |
duhibUhUna	 d u h i b U h U n a |
seedo	 s e e d o |
tikodo,	 t i k o d o , |
ihi~gUpetha	 i h i ~ g U p e t h a |
~ke'noano	 ~ k e ' n o a n o |
wihiamipe	 w i h i a m i p e |
sahido	 s a h i d o |
~ka'mekoato	 ~ k a ' m e k o a t o |
(a)nikatha	 ( a ) n i k a t h a |
bahudo	 b a h u d o |
niime'o	 n i i m e ' o |
~yeemehetha	 ~ y e e m e h e t h a |
keodo	 k e o d o |
ya'uduku	 y a ' u d u k u |
beena,	 b e e n a , |
ahh	 a h h |
seedo,	 s e e d o , |
yU'Ua,	 y U ' U a , |
(ni)~akata	 ( n i ) ~ a k a t a |
wesepU	 w e s e p U |
wa'Uyua,	 w a ' U y u a , |
wesepU,	 w e s e p U , |
ihi,	 i h i , |
ko'teiwa'U	 k o ' t e i w a ' U |
ko'teato	 k o ' t e a t o |
se'nee	 s e ' n e e |
topUnaha	 t o p U n a h a |
ko'tei	 k o ' t e i |
wa'Uninaha	 w a ' U n i n a h a |
~nami~khuno	 ~ n a m i ~ k h u n o |
wa'aa	 w a ' a a |
wa'awa'U	 w a ' a w a ' U |
wa'U,	 w a ' U , |
dUkUle	 d U k U l e |
butiado	 b u t i a d o |
yeedi,	 y e e d i , |
~ti~na	 ~ t i ~ n a |
~wehe~kUwa'Utha	 ~ w e h e ~ k U w a ' U t h a |
yU'UhU	 y U ' U h U |
topUna,	 t o p U n a , |
esapesa,	 e s a p e s a , |
o'orata	 o ' o r a t a |
a'tasuali,	 a ' t a s u a l i , |
ninotha	 n i n o t h a |
bo'do~ga	 b o ' d o ~ g a |
ka'a~gatha	 k a ' a ~ g a t h a |
~emodu	 ~ e m o d u |
ya'ubuhalitha,	 y a ' u b u h a l i t h a , |
yU'Ule,	 y U ' U l e , |
pUadopU	 p U a d o p U |
ihikalinaha	 i h i k a l i n a h a |
buu~gUle	 b u u ~ g U l e |
~weheduado	 ~ w e h e d u a d o |
~emo~gU'Ule	 ~ e m o ~ g U ' U l e |
~weheduado,	 ~ w e h e d u a d o , |
wieda~gU	 w i e d a ~ g U |
saata	 s a a t a |
tuasaa~ka'boa	 t u a s a a ~ k a ' b o a |
ihiedale,	 i h i e d a l e , |
~emopede	 ~ e m o p e d e |
dihia,	 d i h i a , |
tU'osuUgU	 t U ' o s u U g U |
tU'osua	 t U ' o s u a |
ya'udo	 y a ' u d o |
mehetha,	 m e h e t h a , |
ihidinaha	 i h i d i n a h a |
kaale	 k a a l e |
kuedo	 k u e d o |
~sanuduku	 ~ s a n u d u k u |
maamahali	 m a a m a h a l i |
(i)hi(di)	 ( i ) h i ( d i ) |
kaa	 k a a |
pakU	 p a k U |
niidido	 n i i d i d o |
ihimikoali	 i h i m i k o a l i |
(i)hi(di),	 ( i ) h i ( d i ) , |
yabeido	 y a b e i d o |
(wU-)	 ( w U - ) |
wUlia	 w U l i a |
ponutha	 p o n u t h a |
ihidi,	 i h i d i , |
kaadu	 k a a d u |
~emope,	 ~ e m o p e , |
~hu!	 ~ h u ! |
a'lido,	 a ' l i d o , |
yuse	 y u s e |
(Jose)	 ( J o s e ) |
~puno,	 ~ p u n o , |
duhidi	 d u h i d i |
(~emo)	 ( ~ e m o ) |
~ne'edua~gU	 ~ n e ' e d u a ~ g U |
~sayuduku	 ~ s a y u d u k u |
hi,	 h i , |
yU'dUa	 y U ' d U a |
wa'ali,	 w a ' a l i , |
puana	 p u a n a |
saa,	 s a a , |
ihidinaa	 i h i d i n a a |
pekapedi	 p e k a p e d i |
dUkaUpe,	 d U k a U p e , |
U'mUali	 U ' m U a l i |
i'yo,	 i ' y o , |
ihidopea	 i h i d o p e a |
poseyedi'ipe	 p o s e y e d i ' i p e |
legitimo	 l e g i t i m o |
ihina	 i h i n a |
~nUkatha	 ~ n U k a t h a |
dihoka'aboli	 d i h o k a ' a b o l i |
hi	 h i |
tidole,	 t i d o l e , |
mUsatha	 m U s a t h a |
~i'yU,	 ~ i ' y U , |
musino~kU	 m u s i n o ~ k U |
mipe	 m i p e |
hmmm	 h m m m |
ba!	 b a ! |
pitide,	 p i t i d e , |
~UU	 ~ U U |
yauduhku~libe'gUa	 y a u d u h k u ~ l i b e ' g U a |
mU'sale	 m U ' s a l e |
tidetha	 t i d e t h a |
nididosa'ta	 n i d i d o s a ' t a |
yauduhkuta	 y a u d u h k u t a |
~U	 ~ U |
mahsidikido	 m a h s i d i k i d o |
õ'õ	 õ ' õ |
sa'pe	 s a ' p e |
gU'U	 g U ' U |
tu'ya	 t u ' y a |
bo'leadole	 b o ' l e a d o l e |
be'gU	 b e ' g U |
Professor	 P r o f e s s o r |
Dudu	 D u d u |
sinitu'mipe	 s i n i t u ' m i p e |
ohoa	 o h o a |
o'õlidole	 o ' õ l i d o l e |
kahã	 k a h ã |
ninole	 n i n o l e |
primeiro	 p r i m e i r o |
wa'ña	 w a ' ñ a |
me'ne	 m e ' n e |
(me'nedo)minikhuã	 ( m e ' n e d o ) m i n i k h u ã |
wUye	 w U y e |
kinale	 k i n a l e |
nUh'kU	 n U h ' k U |
~khenale	 ~ k h e n a l e |
yedo'o	 y e d o ' o |
dU'sa	 d U ' s a |
(du'sa)	 ( d u ' s a ) |
kido	 k i d o |
ihimayalito	 i h i m a y a l i t o |
a'alikido	 a ' a l i k i d o |
nigUle	 n i g U l e |
bahsagalito	 b a h s a g a l i t o |
niñekhene	 n i ñ e k h e n e |
mahsiduado	 m a h s i d u a d o |
sinitu'umipe	 s i n i t u ' u m i p e |
de'yUdo	 d e ' y U d o |
(tikido)	 ( t i k i d o ) |
ke'noañe	 k e ' n o a ñ e |
bahsayede	 b a h s a y e d e |
yau'duhkumipe	 y a u ' d u h k u m i p e |
yau'duhkuye	 y a u ' d u h k u y e |
ihig~U	 i h i g ~ U |
pi'ti	 p i ' t i |
(pi'tie)	 ( p i ' t i e ) |
pi'tido	 p i ' t i d o |
pi'tidota	 p i ' t i d o t a |
numiale	 n u m i a l e |
yau'duhkuli	 y a u ' d u h k u l i |
tikidole	 t i k i d o l e |
koa	 k o a |
koalikido	 k o a l i k i d o |
no'olikido	 n o ' o l i k i d o |
nihia	 n i h i a |
yeg~U	 y e g ~ U |
ya'usano	 y a ' u s a n o |
thoale	 t h o a l e |
oa	 o a |
ko'teaye	 k o ' t e a y e |
e'sagU	 e ' s a g U |
ba'sali	 b a ' s a l i |
tU'ta	 t U ' t a |
nigU	 n i g U |
yaa	 y a a |
yano	 y a n o |
ba'siodo	 b a ' s i o d o |
umu	 u m u |
a'kãpoado	 a ' k ã p o a d o |
yama'a	 y a m a ' a |
o'beduhkuta	 o ' b e d u h k u t a |
yau'duhku	 y a u ' d u h k u |
g~Ule	 g ~ U l e |
pe'okã	 p e ' o k ã |
yepe	 y e p e |
g~U'U	 g ~ U ' U |
ka'ata	 k a ' a t a |
ma'atiaye	 m a ' a t i a y e |
ma'apU	 m a ' a p U |
~iyamahka	 ~ i y a m a h k a |
duhkudole	 d u h k u d o l e |
~iyamahkaye	 ~ i y a m a h k a y e |
tu'u	 t u ' u |
wãti	 w ã t i |
ko'to	 k o ' t o |
weo	 w e o |
tuhsa	 t u h s a |
tihiaga	 t i h i a g a |
õo	 õ o |
mahapoado	 m a h a p o a d o |
dukudi	 d u k u d i |
male	 m a l e |
nide	 n i d e |
malile	 m a l i l e |
tu'otudukume	 t u ' o t u d u k u m e |
yoakuno	 y o a k u n o |
õse	 õ s e |
ehseye	 e h s e y e |
bahsali	 b a h s a l i |
maliedaya	 m a l i e d a y a |
a'kakorokota	 a ' k a k o r o k o t a |
ñekonoko	 ñ e k o n o k o |
tikoroko	 t i k o r o k o |
ihiahali	 i h i a h a l i |
tio	 t i o |
roko	 r o k o |
ihtiwiataye	 i h t i w i a t a y e |
tchou	 t c h o u |
madale	 m a d a l e |
yamaye	 y a m a y e |
tibUna	 t i b U n a |
(tikodo)	 ( t i k o d o ) |
(nikako)	 ( n i k a k o ) |
hUo	 h U o |
kã'yenaha	 k ã ' y e n a h a |
ñe'konokUole	 ñ e ' k o n o k U o l e |
bahsuli	 b a h s u l i |
wi'etati	 w i ' e t a t i |
miale	 m i a l e |
yõ	 y õ |
y'ña	 y ' ñ a |
y'boduhi	 y ' b o d u h i |
nabU	 n a b U |
ya'uduhtika'ã	 y a ' u d u h t i k a ' ã |
mehka	 m e h k a |
sodo	 s o d o |
niekinale	 n i e k i n a l e |
mahsi	 m a h s i |
bUhU	 b U h U |
y'a	 y ' a |
malia	 m a l i a |
sihti	 s i h t i |
[hora]wa'tedopU	 [ h o r a ] w a ' t e d o p U |
ñami	 ñ a m i |
ka'pU	 k a ' p U |
ko'ea	 k o ' e a |
bUeti	 b U e t i |
bo'dope	 b o ' d o p e |
sihkalide	 s i h k a l i d e |
omali	 o m a l i |
sihkale	 s i h k a l e |
tuyo	 t u y o |
kã'ye	 k ã ' y e |
ka'ã	 k a ' ã |
sa'ã	 s a ' ã |
tag~U	 t a g ~ U |
yU'ti	 y U ' t i |
wi'aliti	 w i ' a l i t i |
ã	 ã |
wi'idi	 w i ' i d i |
(be'e)	 ( b e ' e ) |
miata	 m i a t a |
wi'eta	 w i ' e t a |
nibU	 n i b U |
yU'UagU	 y U ' U a g U |
ñehkono	 ñ e h k o n o |
kUole	 k U o l e |
ya'ug~U	 y a ' u g ~ U |
tUodo	 t U o d o |
sinitu'u	 s i n i t u ' u |
buhkuedo	 b u h k u e d o |
peona	 p e o n a |
wi'iedaliti	 w i ' i e d a l i t i |
wi'iedale	 w i ' i e d a l e |
yU'tig~U	 y U ' t i g ~ U |
pe'a	 p e ' a |
wi'aya	 w i ' a y a |
mU'Upe	 m U ' U p e |
i'ñedaya	 i ' ñ e d a y a |
wi'ig~U	 w i ' i g ~ U |
bUetiye	 b U e t i y e |
tuyoaya	 t u y o a y a |
nig~U	 n i g ~ U |
i'ñaU	 i ' ñ a U |
wiaye	 w i a y e |
tuyole	 t u y o l e |
si'kale	 s i ' k a l e |
yug~U	 y u g ~ U |
tog~U	 t o g ~ U |
wi'a	 w i ' a |
neka'a	 n e k a ' a |
nesahata	 n e s a h a t a |
ya'ume	 y a ' u m e |
ya'gU	 y a ' g U |
pohsa	 p o h s a |
bUe	 b U e |
bUhul~iti	 b U h u l ~ i t i |
ihig~Ule	 i h i g ~ U l e |
mahsiedali	 m a h s i e d a l i |
nibe'e	 n i b e ' e |
yagU	 y a g U |
ye'kono	 y e ' k o n o |
nikanota	 n i k a n o t a |
bahsita	 b a h s i t a |
ehsamayeto	 e h s a m a y e t o |
mi'ni	 m i ' n i |
yali	 y a l i |
dUadota	 d U a d o t a |
yedo'ta	 y e d o ' t a |
numiagUle	 n u m i a g U l e |
gañali	 g a ñ a l i |
me'nedo	 m e ' n e d o |
mehkale	 m e h k a l e |
numa'ye	 n u m a ' y e |
pe'na	 p e ' n a |
nika'anota	 n i k a ' a n o t a |
niayeto	 n i a y e t o |
o'õna	 o ' õ n a |
ya'g~Ule	 y a ' g ~ U l e |
mianopU	 m i a n o p U |
mehene	 m e h e n e |
mehkana	 m e h k a n a |
i'edahana	 i ' e d a h a n a |
yeda'g~U	 y e d a ' g ~ U |
i'bokayata	 i ' b o k a y a t a |
na'imuya	 n a ' i m u y a |
yohsatipe	 y o h s a t i p e |
p~Unokuhupe	 p ~ U n o k u h u p e |
p~Unokuhu	 p ~ U n o k u h u |
mada	 m a d a |
yadU	 y a d U |
ã'kanu	 ã ' k a n u |
kayeta	 k a y e t a |
tikinalenaha	 t i k i n a l e n a h a |
na'i	 n a ' i |
keatag~U	 k e a t a g ~ U |
pUno	 p U n o |
k~esteaye	 k ~ e s t e a y e |
tikino	 t i k i n o |
k~esteg~U	 k ~ e s t e g ~ U |
komana	 k o m a n a |
pahali	 p a h a l i |
di'ita	 d i ' i t a |
ihikaye	 i h i k a y e |
pUnole	 p U n o l e |
sUhtiyede	 s U h t i y e d e |
bUhsU	 b U h s U |
ma'gU	 m a ' g U |
i'yã	 i ' y ã |
a'kãkodope	 a ' k ã k o d o p e |
a'dU	 a ' d U |
ihiedagato	 i h i e d a g a t o |
tUotumaye	 t U o t u m a y e |
buhkoedo	 b u h k o e d o |
tikidope	 t i k i d o p e |
wuahsUta	 w u a h s U t a |
na'ikeaga	 n a ' i k e a g a |
wahtoa	 w a h t o a |
yo'saye	 y o ' s a y e |
wUahsado	 w U a h s a d o |
pihtikado	 p i h t i k a d o |
ahkaliboaye	 a h k a l i b o a y e |
ahkalibo(ma)	 a h k a l i b o ( m a ) |
ba'odo	 b a ' o d o |
tuhtualiãye	 t u h t u a l i ã y e |
ka'ãmedaye	 k a ' ã m e d a y e |
sUhti	 s U h t i |
dUhsa	 d U h s a |
wuha	 w u h a |
a'tadopUa	 a ' t a d o p U a |
pul~i	 p u l ~ i |
bo'ledaha	 b o ' l e d a h a |
ihibuhtiana	 i h i b u h t i a n a |
yu'dUdUhka	 y u ' d U d U h k a |
dUhsalikodope	 d U h s a l i k o d o p e |
mi'onope	 m i ' o n o p e |
bo'leato	 b o ' l e a t o |
o'okaye	 o ' o k a y e |
nahayU'U	 n a h a y U ' U |
bo'leadopU	 b o ' l e a d o p U |
ya'ulibe'gU	 y a ' u l i b e ' g U |
sahbekã'ye	 s a h b e k ã ' y e |
(ã)	 ( ã ) |
tuhasa	 t u h a s a |
ba'odole	 b a ' o d o l e |
pe'oduadota	 p e ' o d u a d o t a |
ka'medaye	 k a ' m e d a y e |
o'oedaye	 o ' o e d a y e |
sa'begUta	 s a ' b e g U t a |
o'ami	 o ' a m i |
ka'medagU	 k a ' m e d a g U |
i'y	 i ' y |
du'ukaye	 d u ' u k a y e |
ahkoena	 a h k o e n a |
tU'og~Ule	 t U ' o g ~ U l e |
so'õbodopU	 s o ' õ b o d o p U |
pihtu	 p i h t u |
ku'saye	 k u ' s a y e |
be'yU	 b e ' y U |
daleti	 d a l e t i |
ihido'ta	 i h i d o ' t a |
ku'sag~U	 k u ' s a g ~ U |
tU'oaye	 t U ' o a y e |
a'be	 a ' b e |
to'atUle	 t o ' a t U l e |
keãye	 k e ã y e |
ku'sa	 k u ' s a |
tua'sado	 t u a ' s a d o |
to'atUta	 t o ' a t U t a |
tihpe	 t i h p e |
bUhkU	 b U h k U |
tuli	 t u l i |
bUhuye	 b U h u y e |
to'atU	 t o ' a t U |
pihioye	 p i h i o y e |
tUhpUle	 t U h p U l e |
tiapUle	 t i a p U l e |
(tcho)	 ( t c h o ) |
ahpesiepe	 a h p e s i e p e |
ahtakãYa	 a h t a k ã Y a |
wU'una	 w U ' u n a |
ba'odope	 b a ' o d o p e |
tuhtuaye	 t u h t u a y e |
wa'miono	 w a ' m i o n o |
tohoa	 t o h o a |
tuhsali	 t u h s a l i |
tikodoa	 t i k o d o a |
wahk~u	 w a h k ~ u |
tuhtua	 t u h t u a |
a'tatali	 a ' t a t a l i |
mahale	 m a h a l e |
tohoata	 t o h o a t a |
diabuipU	 d i a b u i p U |
yu'dUye	 y u ' d U y e |
kohteye	 k o h t e y e |
duhkudo	 d u h k u d o |
sana	 s a n a |
wUma	 w U m a |
yoahtaye	 y o a h t a y e |
ka'apU	 k a ' a p U |
wa'adota	 w a ' a d o t a |
a'mastidi	 a ' m a s t i d i |
[lenço]	 [ l e n ç o ] |
yesedi	 y e s e d i |
kahsedo	 k a h s e d o |
dUhte	 d U h t e |
dehkeoka'ã	 d e h k e o k a ' ã |
niye	 n i y e |
yoahag~Ule	 y o a h a g ~ U l e |
yoahatag~U	 y o a h a t a g ~ U |
i'yane	 i ' y a n e |
numiatikidole	 n u m i a t i k i d o l e |
UhsagUle	 U h s a g U l e |
sãgU'Ute	 s ã g U ' U t e |
UhsagU'U	 U h s a g U ' U |
kaha	 k a h a |
yedopU	 y e d o p U |
i'yana	 i ' y a n a |
o'õbahdo	 o ' õ b a h d o |
kuhunU	 k u h u n U |
ihig~Uta	 i h i g ~ U t a |
~Uli	 ~ U l i |
Uliñe	 U l i ñ e |
pi'olikina	 p i ' o l i k i n a |
muhsana	 m u h s a n a |
sa~edahaya	 s a ~ e d a h a y a |
sa'betUhsaya	 s a ' b e t U h s a y a |
nika'ye	 n i k a ' y e |
pUhto	 p U h t o |
yu'dUaye	 y u ' d U a y e |
yoag~U	 y o a g ~ U |
Uhso	 U h s o |
dUhtuka'gã	 d U h t u k a ' g ã |
gU'l~e	 g U ' l ~ e |
sinima'ye	 s i n i m a ' y e |
yU'Una	 y U ' U n a |
pohsetia	 p o h s e t i a |
me'nogã	 m e ' n o g ã |
bahukale	 b a h u k a l e |
sahg~Ule	 s a h g ~ U l e |
o'edaboa	 o ' e d a b o a |
yU'tika	 y U ' t i k a |
yUdUawa'ye	 y U d U a w a ' y e |
ttikidog~U	 t t i k i d o g ~ U |
wa'anatale	 w a ' a n a t a l e |
